ID,LABEL_ID,OFFER_ID
747,159,OFF0036
747,163,OFF0036
1201,134,OFF0005
1201,47,OFF0005
1201,54,OFF0005
1201,144,OFF0005
1201,233,OFF0005
1201,183,OFF0005
1201,227,OFF0005
1201,203,OFF0005
1201,89,OFF0005
218,144,OFF0015
218,233,OFF0015
218,220,OFF0015
218,180,OFF0015
218,15,OFF0015
218,13,OFF0015
218,165,OFF0015
218,14,OFF0015
959,87,OFF0016
959,43,OFF0016
959,233,OFF0016
959,12,OFF0016
959,11,OFF0016
959,9,OFF0016
959,10,OFF0016
959,19,OFF0016
959,249,OFF0016
959,41,OFF0016
281,54,OFF0007
281,233,OFF0007
281,213,OFF0007
281,56,OFF0007
281,63,OFF0007
281,203,OFF0007
281,216,OFF0007
281,108,OFF0007
1242,54,OFF0007
1242,233,OFF0007
1242,213,OFF0007
1242,56,OFF0007
1242,63,OFF0007
1242,203,OFF0007
1242,216,OFF0007
1242,108,OFF0007
454,55,OFF0021
454,104,OFF0021
454,50,OFF0021
377,54,OFF0007
377,233,OFF0007
377,213,OFF0007
377,56,OFF0007
377,63,OFF0007
377,203,OFF0007
377,216,OFF0007
377,108,OFF0007
903,214,OFF0009
903,54,OFF0006
903,56,OFF0006
903,58,OFF0006
903,183,OFF0006
903,203,OFF0006
903,89,OFF0006
903,59,OFF0006
903,198,OFF0006
903,233,OFF0006
903,35,OFF0006
903,238,OFF0009
903,79,OFF0009
903,54,OFF0009
903,194,OFF0009
903,140,OFF0009
903,58,OFF0009
903,56,OFF0009
903,233,OFF0009
903,203,OFF0009
903,89,OFF0009
1467,43,OFF0042
1467,121,OFF0042
1467,240,OFF0042
1467,232,OFF0042
1467,152,OFF0042
1467,111,OFF0042
1467,248,OFF0042
1467,178,OFF0042
1467,150,OFF0042
1467,31,OFF0042
1467,89,OFF0042
1467,203,OFF0042
1318,95,OFF0027
1318,54,OFF0027
1318,56,OFF0027
1318,209,OFF0027
1318,194,OFF0027
1318,234,OFF0027
472,238,OFF0010
472,117,OFF0010
472,200,OFF0010
472,54,OFF0010
472,233,OFF0010
472,55,OFF0010
472,124,OFF0010
472,44,OFF0010
472,166,OFF0010
472,27,OFF0010
472,62,OFF0010
472,42,OFF0010
466,103,OFF0023
466,49,OFF0023
466,235,OFF0023
466,135,OFF0023
117,103,OFF0022
117,49,OFF0022
117,97,OFF0022
381,103,OFF0022
381,167,OFF0002
381,141,OFF0002
381,205,OFF0002
381,54,OFF0002
381,90,OFF0002
381,54,OFF0026
381,79,OFF0026
381,194,OFF0026
381,56,OFF0026
381,116,OFF0026
381,234,OFF0026
381,95,OFF0026
381,49,OFF0022
381,97,OFF0022
449,229,OFF0025
449,49,OFF0022
449,97,OFF0022
449,103,OFF0022
449,97,OFF0025
1422,87,OFF0016
1422,43,OFF0016
1422,233,OFF0016
1422,12,OFF0016
1422,11,OFF0016
1422,9,OFF0016
1422,10,OFF0016
1422,19,OFF0016
1422,249,OFF0016
1422,41,OFF0016
978,54,OFF0007
978,233,OFF0007
978,213,OFF0007
978,56,OFF0007
978,63,OFF0007
978,203,OFF0007
978,216,OFF0007
978,108,OFF0007
1365,87,OFF0019
1365,144,OFF0020
1365,132,OFF0020
1365,106,OFF0020
1365,136,OFF0020
1365,233,OFF0020
1365,73,OFF0046
1365,203,OFF0046
1365,25,OFF0046
1365,195,OFF0046
1365,176,OFF0046
1365,110,OFF0046
1365,162,OFF0046
1365,51,OFF0046
1365,53,OFF0046
1365,52,OFF0046
1365,158,OFF0046
1365,89,OFF0046
1365,179,OFF0046
1365,43,OFF0019
1365,233,OFF0019
1365,8,OFF0019
1365,78,OFF0019
1365,5,OFF0019
1365,7,OFF0019
1365,6,OFF0019
1365,238,OFF0041
1365,250,OFF0041
1365,88,OFF0041
1365,241,OFF0041
1365,231,OFF0041
1365,218,OFF0041
1365,32,OFF0041
1365,1,OFF0041
1365,89,OFF0041
1365,131,OFF0011
1365,101,OFF0011
1365,84,OFF0011
1365,45,OFF0011
1365,219,OFF0011
1365,144,OFF0011
1365,40,OFF0011
1365,43,OFF0011
1245,55,OFF0021
1245,104,OFF0021
1245,50,OFF0021
559,103,OFF0023
559,47,OFF0005
559,54,OFF0005
559,144,OFF0005
559,233,OFF0005
559,183,OFF0005
559,227,OFF0005
559,203,OFF0005
559,89,OFF0005
559,134,OFF0005
559,167,OFF0002
559,141,OFF0002
559,205,OFF0002
559,54,OFF0002
559,90,OFF0002
559,233,OFF0013
559,144,OFF0013
559,2,OFF0013
559,4,OFF0013
559,3,OFF0013
559,220,OFF0013
559,131,OFF0011
559,101,OFF0011
559,84,OFF0011
559,45,OFF0011
559,219,OFF0011
559,144,OFF0011
559,40,OFF0011
559,43,OFF0011
559,144,OFF0020
559,132,OFF0020
559,106,OFF0020
559,136,OFF0020
559,233,OFF0020
559,49,OFF0023
559,235,OFF0023
559,135,OFF0023
559,97,OFF0025
559,229,OFF0025
559,49,OFF0022
559,97,OFF0022
559,103,OFF0022
547,95,OFF0027
547,54,OFF0027
547,56,OFF0027
547,209,OFF0027
547,194,OFF0027
547,234,OFF0027
116,202,OFF0008
116,221,OFF0045
116,93,OFF0045
116,184,OFF0045
116,43,OFF0045
116,91,OFF0045
116,100,OFF0045
116,55,OFF0045
116,57,OFF0045
116,76,OFF0045
116,107,OFF0045
116,89,OFF0045
116,203,OFF0045
116,50,OFF0045
116,54,OFF0008
116,93,OFF0008
116,203,OFF0008
116,89,OFF0008
116,60,OFF0008
116,233,OFF0008
1193,95,OFF0027
1193,54,OFF0027
1193,56,OFF0027
1193,209,OFF0027
1193,194,OFF0027
1193,234,OFF0027
146,238,OFF0010
146,233,OFF0007
146,213,OFF0007
146,56,OFF0007
146,63,OFF0007
146,203,OFF0007
146,216,OFF0007
146,108,OFF0007
146,54,OFF0007
146,117,OFF0010
146,200,OFF0010
146,54,OFF0010
146,233,OFF0010
146,55,OFF0010
146,124,OFF0010
146,44,OFF0010
146,166,OFF0010
146,27,OFF0010
146,62,OFF0010
146,42,OFF0010
476,95,OFF0027
476,54,OFF0027
476,56,OFF0027
476,209,OFF0027
476,194,OFF0027
476,234,OFF0027
1246,174,OFF0038
1246,43,OFF0038
1246,93,OFF0038
1246,238,OFF0038
1246,36,OFF0038
1246,187,OFF0038
1246,113,OFF0038
1246,71,OFF0038
1246,177,OFF0038
1246,247,OFF0038
1246,217,OFF0038
324,54,OFF0001
324,202,OFF0001
324,201,OFF0001
324,183,OFF0001
324,233,OFF0001
324,203,OFF0001
324,89,OFF0001
324,107,OFF0001
688,134,OFF0005
688,47,OFF0005
688,54,OFF0005
688,144,OFF0005
688,233,OFF0005
688,183,OFF0005
688,227,OFF0005
688,203,OFF0005
688,89,OFF0005
601,103,OFF0023
601,49,OFF0023
601,235,OFF0023
601,135,OFF0023
315,54,OFF0007
315,66,OFF0028
315,48,OFF0028
315,215,OFF0028
315,189,OFF0028
315,102,OFF0028
315,114,OFF0028
315,115,OFF0028
315,72,OFF0028
315,96,OFF0029
315,196,OFF0029
315,207,OFF0029
315,119,OFF0029
315,69,OFF0029
315,198,OFF0029
315,197,OFF0029
315,147,OFF0029
315,128,OFF0029
315,20,OFF0029
315,129,OFF0029
315,161,OFF0029
315,109,OFF0029
315,146,OFF0029
315,186,OFF0029
315,233,OFF0007
315,213,OFF0007
315,56,OFF0007
315,63,OFF0007
315,203,OFF0007
315,216,OFF0007
315,108,OFF0007
1202,233,OFF0020
1202,144,OFF0020
1202,132,OFF0020
1202,106,OFF0020
1202,136,OFF0020
985,54,OFF0007
985,233,OFF0007
985,213,OFF0007
985,56,OFF0007
985,63,OFF0007
985,203,OFF0007
985,216,OFF0007
985,108,OFF0007
1209,103,OFF0023
1209,47,OFF0005
1209,54,OFF0005
1209,144,OFF0005
1209,233,OFF0005
1209,183,OFF0005
1209,227,OFF0005
1209,203,OFF0005
1209,89,OFF0005
1209,134,OFF0005
1209,144,OFF0020
1209,132,OFF0020
1209,106,OFF0020
1209,136,OFF0020
1209,233,OFF0020
1209,117,OFF0010
1209,200,OFF0010
1209,54,OFF0010
1209,233,OFF0010
1209,55,OFF0010
1209,124,OFF0010
1209,44,OFF0010
1209,166,OFF0010
1209,27,OFF0010
1209,62,OFF0010
1209,42,OFF0010
1209,238,OFF0010
1209,49,OFF0022
1209,97,OFF0022
1209,103,OFF0022
1209,49,OFF0023
1209,235,OFF0023
1209,135,OFF0023
1209,97,OFF0025
1209,229,OFF0025
1373,54,OFF0007
1373,233,OFF0007
1373,213,OFF0007
1373,56,OFF0007
1373,63,OFF0007
1373,203,OFF0007
1373,216,OFF0007
1373,108,OFF0007
1210,103,OFF0023
1210,47,OFF0005
1210,54,OFF0005
1210,144,OFF0005
1210,233,OFF0005
1210,183,OFF0005
1210,227,OFF0005
1210,203,OFF0005
1210,89,OFF0005
1210,134,OFF0005
1210,49,OFF0023
1210,235,OFF0023
1210,135,OFF0023
195,103,OFF0022
195,47,OFF0005
195,54,OFF0005
195,144,OFF0005
195,233,OFF0005
195,183,OFF0005
195,227,OFF0005
195,203,OFF0005
195,89,OFF0005
195,134,OFF0005
195,117,OFF0010
195,200,OFF0010
195,54,OFF0010
195,233,OFF0010
195,55,OFF0010
195,124,OFF0010
195,44,OFF0010
195,166,OFF0010
195,27,OFF0010
195,62,OFF0010
195,42,OFF0010
195,238,OFF0010
195,49,OFF0023
195,235,OFF0023
195,135,OFF0023
195,103,OFF0023
195,49,OFF0022
195,97,OFF0022
947,87,OFF0016
947,43,OFF0016
947,233,OFF0016
947,12,OFF0016
947,11,OFF0016
947,9,OFF0016
947,10,OFF0016
947,19,OFF0016
947,249,OFF0016
947,41,OFF0016
214,233,OFF0020
214,144,OFF0020
214,132,OFF0020
214,106,OFF0020
214,136,OFF0020
1491,174,OFF0038
1491,43,OFF0038
1491,93,OFF0038
1491,238,OFF0038
1491,36,OFF0038
1491,187,OFF0038
1491,113,OFF0038
1491,71,OFF0038
1491,177,OFF0038
1491,247,OFF0038
1491,217,OFF0038
596,229,OFF0025
596,49,OFF0023
596,235,OFF0023
596,135,OFF0023
596,103,OFF0023
596,97,OFF0025
853,103,OFF0023
853,49,OFF0023
853,235,OFF0023
853,135,OFF0023
1443,250,OFF0017
1443,87,OFF0017
1443,233,OFF0017
1443,22,OFF0017
1443,23,OFF0017
1443,24,OFF0017
494,181,OFF0036
494,43,OFF0016
494,233,OFF0016
494,12,OFF0016
494,11,OFF0016
494,9,OFF0016
494,10,OFF0016
494,19,OFF0016
494,249,OFF0016
494,41,OFF0016
494,87,OFF0016
494,233,OFF0007
494,213,OFF0007
494,56,OFF0007
494,63,OFF0007
494,203,OFF0007
494,216,OFF0007
494,108,OFF0007
494,54,OFF0007
494,43,OFF0036
494,93,OFF0036
494,238,OFF0036
494,226,OFF0036
494,245,OFF0036
494,159,OFF0036
494,163,OFF0036
274,229,OFF0025
274,233,OFF0007
274,213,OFF0007
274,56,OFF0007
274,63,OFF0007
274,203,OFF0007
274,216,OFF0007
274,108,OFF0007
274,54,OFF0007
274,49,OFF0022
274,97,OFF0022
274,103,OFF0022
274,97,OFF0025
1347,103,OFF0023
1347,49,OFF0023
1347,235,OFF0023
1347,135,OFF0023
1488,43,OFF0011
1488,131,OFF0011
1488,101,OFF0011
1488,84,OFF0011
1488,45,OFF0011
1488,219,OFF0011
1488,144,OFF0011
1488,40,OFF0011
1117,95,OFF0027
1117,221,OFF0045
1117,93,OFF0045
1117,184,OFF0045
1117,43,OFF0045
1117,91,OFF0045
1117,100,OFF0045
1117,55,OFF0045
1117,57,OFF0045
1117,76,OFF0045
1117,107,OFF0045
1117,89,OFF0045
1117,203,OFF0045
1117,50,OFF0045
1117,54,OFF0008
1117,93,OFF0008
1117,203,OFF0008
1117,89,OFF0008
1117,60,OFF0008
1117,233,OFF0008
1117,202,OFF0008
1117,54,OFF0027
1117,56,OFF0027
1117,209,OFF0027
1117,194,OFF0027
1117,234,OFF0027
149,54,OFF0007
149,54,OFF0027
149,56,OFF0027
149,209,OFF0027
149,194,OFF0027
149,234,OFF0027
149,95,OFF0027
149,233,OFF0007
149,213,OFF0007
149,56,OFF0007
149,63,OFF0007
149,203,OFF0007
149,216,OFF0007
149,108,OFF0007
1081,229,OFF0025
1081,47,OFF0005
1081,54,OFF0005
1081,144,OFF0005
1081,233,OFF0005
1081,183,OFF0005
1081,227,OFF0005
1081,203,OFF0005
1081,89,OFF0005
1081,134,OFF0005
1081,233,OFF0007
1081,213,OFF0007
1081,56,OFF0007
1081,63,OFF0007
1081,203,OFF0007
1081,216,OFF0007
1081,108,OFF0007
1081,54,OFF0007
1081,97,OFF0025
1081,49,OFF0023
1081,235,OFF0023
1081,135,OFF0023
1081,103,OFF0023
857,103,OFF0023
857,49,OFF0023
857,235,OFF0023
857,135,OFF0023
1262,90,OFF0002
1262,167,OFF0002
1262,141,OFF0002
1262,205,OFF0002
1262,54,OFF0002
1262,233,OFF0007
1262,213,OFF0007
1262,56,OFF0007
1262,63,OFF0007
1262,203,OFF0007
1262,216,OFF0007
1262,108,OFF0007
1262,54,OFF0007
714,54,OFF0007
714,54,OFF0027
714,56,OFF0027
714,209,OFF0027
714,194,OFF0027
714,234,OFF0027
714,95,OFF0027
714,233,OFF0007
714,213,OFF0007
714,56,OFF0007
714,63,OFF0007
714,203,OFF0007
714,216,OFF0007
714,108,OFF0007
419,148,OFF0031
419,145,OFF0031
419,61,OFF0031
419,29,OFF0031
419,28,OFF0031
419,230,OFF0031
419,82,OFF0031
419,244,OFF0031
419,118,OFF0031
419,175,OFF0031
419,173,OFF0031
900,103,OFF0023
900,49,OFF0023
900,235,OFF0023
900,135,OFF0023
900,49,OFF0024
900,97,OFF0024
900,135,OFF0024
900,103,OFF0024
208,134,OFF0005
208,47,OFF0005
208,54,OFF0005
208,144,OFF0005
208,233,OFF0005
208,183,OFF0005
208,227,OFF0005
208,203,OFF0005
208,89,OFF0005
924,54,OFF0007
924,233,OFF0007
924,213,OFF0007
924,56,OFF0007
924,63,OFF0007
924,203,OFF0007
924,216,OFF0007
924,108,OFF0007
184,220,OFF0013
184,233,OFF0007
184,213,OFF0007
184,56,OFF0007
184,63,OFF0007
184,203,OFF0007
184,216,OFF0007
184,108,OFF0007
184,54,OFF0007
184,238,OFF0041
184,250,OFF0041
184,88,OFF0041
184,241,OFF0041
184,231,OFF0041
184,218,OFF0041
184,32,OFF0041
184,1,OFF0041
184,89,OFF0041
184,233,OFF0013
184,144,OFF0013
184,2,OFF0013
184,4,OFF0013
184,3,OFF0013
1253,220,OFF0013
1253,233,OFF0015
1253,220,OFF0015
1253,180,OFF0015
1253,15,OFF0015
1253,13,OFF0015
1253,165,OFF0015
1253,14,OFF0015
1253,144,OFF0015
1253,233,OFF0013
1253,144,OFF0013
1253,2,OFF0013
1253,4,OFF0013
1253,3,OFF0013
827,90,OFF0002
827,233,OFF0007
827,213,OFF0007
827,56,OFF0007
827,63,OFF0007
827,203,OFF0007
827,216,OFF0007
827,108,OFF0007
827,54,OFF0007
827,167,OFF0002
827,141,OFF0002
827,205,OFF0002
827,54,OFF0002
642,229,OFF0025
642,117,OFF0010
642,200,OFF0010
642,54,OFF0010
642,233,OFF0010
642,55,OFF0010
642,124,OFF0010
642,44,OFF0010
642,166,OFF0010
642,27,OFF0010
642,62,OFF0010
642,42,OFF0010
642,238,OFF0010
642,49,OFF0022
642,97,OFF0022
642,103,OFF0022
642,97,OFF0025
897,220,OFF0013
897,233,OFF0013
897,144,OFF0013
897,2,OFF0013
897,4,OFF0013
897,3,OFF0013
1174,233,OFF0007
1174,213,OFF0007
1174,56,OFF0007
1174,63,OFF0007
1174,203,OFF0007
1174,216,OFF0007
1174,108,OFF0007
1174,54,OFF0007
1174,117,OFF0010
1174,200,OFF0010
1174,54,OFF0010
1174,233,OFF0010
1174,55,OFF0010
1174,124,OFF0010
1174,44,OFF0010
1174,166,OFF0010
1174,27,OFF0010
1174,62,OFF0010
1174,42,OFF0010
1174,238,OFF0010
229,34,OFF0014
229,123,OFF0014
229,233,OFF0014
229,120,OFF0014
229,17,OFF0014
229,206,OFF0014
229,155,OFF0014
229,21,OFF0014
229,125,OFF0014
229,157,OFF0014
1045,54,OFF0004
1045,60,OFF0004
1045,203,OFF0004
1045,233,OFF0004
1045,182,OFF0004
1045,243,OFF0004
1045,137,OFF0004
1045,238,OFF0004
1045,117,OFF0004
1045,200,OFF0004
1045,47,OFF0004
1045,144,OFF0004
1045,133,OFF0004
1045,164,OFF0004
1045,89,OFF0004
1045,43,OFF0004
654,233,OFF0020
654,144,OFF0020
654,132,OFF0020
654,106,OFF0020
654,136,OFF0020
1334,55,OFF0021
1334,104,OFF0021
1334,50,OFF0021
1077,103,OFF0022
1077,47,OFF0005
1077,54,OFF0005
1077,144,OFF0005
1077,233,OFF0005
1077,183,OFF0005
1077,227,OFF0005
1077,203,OFF0005
1077,89,OFF0005
1077,134,OFF0005
1077,233,OFF0007
1077,213,OFF0007
1077,56,OFF0007
1077,63,OFF0007
1077,203,OFF0007
1077,216,OFF0007
1077,108,OFF0007
1077,54,OFF0007
1077,49,OFF0022
1077,97,OFF0022
918,145,OFF0031
918,61,OFF0031
918,29,OFF0031
918,28,OFF0031
918,230,OFF0031
918,82,OFF0031
918,244,OFF0031
918,118,OFF0031
918,175,OFF0031
918,173,OFF0031
918,148,OFF0031
609,103,OFF0022
609,47,OFF0005
