LABEL_ID,OFFER_ID,IND
212,OFF0043,1
237,OFF0043,1
89,OFF0043,1
203,OFF0043,1
201,OFF0043,1
43,OFF0039,1
93,OFF0039,1
238,OFF0039,1
139,OFF0039,1
153,OFF0039,1
68,OFF0039,1
242,OFF0039,1
192,OFF0039,1
